,title,url,thumbnail,channel,views,upload-date,description
0,Sarkaru Vaari Paata - Title Song | Mahesh Babu | Keerthy Suresh | Thaman S | Parasuram,https://www.youtube.com/watch?v=EqyKcZibh-Y,https://i.ytimg.com/vi/EqyKcZibh-Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAARc3iQmBJTRGUhOTZBVX7PpZ42Q,Saregama Telugu,7M views,1 day ago,"Time for your speakers to go FULL VOLUME! The most awaited 'Title Song' from 'Sarkaru Vaari Paata' Starring Super Star Mahesh Babu, Keerthy Suresh, Vennela Kishore, Subbaraju, and others. Directed..."
1,"Dosti Full Video Song (Telugu) | RRR | NTR, Ram Charan | MM Keeravaani | SS Rajamouli|Kaala Bhairava",https://www.youtube.com/watch?v=oPsfhgz3M10,https://i.ytimg.com/vi/oPsfhgz3M10/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHr3nnnqn4AP6Fy2FgN7BrrLLIRw,Lahari Music | T-Series,6.7M views,2 days ago,"Watch #Dosti Full Video Song from #RRR Telugu Movie, ft. NTR, Ram Charan, Sung by Kaala Bhairava, Music Composed by M M Keeravaani #RRRSongs #RRRMovie #RRR #Dosti ----------- ♪Full Song..."
2,"Bullet Song Lyrical (Telugu) | The Warriorr | Ram Pothineni, Krithi Shetty | Simbu | DSP | Lingusamy",https://www.youtube.com/watch?v=f0T6jFsWMak,https://i.ytimg.com/vi/f0T6jFsWMak/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjWsPtBFNwZWSkHSxg5uK7Xbgogg,Aditya Music,7.1M views,1 day ago,Watch & Enjoy Bullet Song Lyrical From The Movie The Warriorr. #TheWarrior #RamPothineni #KrithiShetty Audio also available on: Spotify► https://spoti.fi/37v8RGZ Gaana ► https://bit.ly/3vH8u...
3,Combat Of Words Between Chandrababu Naidu And AP Minister Vidadala Rajini | TDP Vs YCP | Mango News,https://www.youtube.com/watch?v=SjOTMU_5ezo,https://i.ytimg.com/vi/SjOTMU_5ezo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyPuqTIm2c9vbxO8HKzenfeemjLQ,Mango News,231K views,18 hours ago,Combat Of Words Between Chandrababu Naidu And AP Minister Vidadala Rajini. For All Political and Latest News Updates Subscribe to #MangoNews #ChandrababuNaidu #MinisterVidadalaRajini #CMYSJagan...
4,"KRK Telugu Trailer | Vijay Sethupathi, Nayanthara, Samantha | Anirudh Ravichander | Vignesh Shivan",https://www.youtube.com/watch?v=RPdbXWXd9UU,https://i.ytimg.com/vi/RPdbXWXd9UU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsjp4M7TJzJ1pojv01g1sE1xg7kg,Sony Music South,1.6M views,1 day ago,Movie - Kanmani Rambo Khatija Produced by 7 Screen Studio In Association with Rowdy Pictures Producer - Lalit Kumar Written and Directed by Vignesh Shivan Music by Anirudh Ravichander Cinematograph...
5,Ante Sundaraniki Teaser | Nani | Nazriya Fahadh | Vivek Sagar | Vivek Athreya | Mythri Movie Makers,https://www.youtube.com/watch?v=OSV33DywiRs,,Mythri Movie Makers,16M views,4 days ago,Ante Sundaraniki Teaser on Mythri Movie Makers. Presenting our Natural Star 'Nani' and Electric Charm 'Nazriya' in Ante Sundaraniki. The film has been Written and Directed by Vivek Athreya....
6,chapter.100 అత్త vs కోడలు vs మనవరాలు Part 2 (so sad ఇలా ఎవరికీ జరగకూడదు😭#shorts #youtube #trending,https://www.youtube.com/watch?v=FfGUe8xGB-U,,pooja devarakonda,528K views,23 hours ago,
7,Mere HumSafar Episode 17| Presented by Sensodyne [Subtitle Eng] 22nd April 2022 | ARY Digital Drama,https://www.youtube.com/watch?v=l1OA5mdUfis,,ARY Digital,9.4M views,1 day ago,"Mere HumSafar Episode 17 - Presented by Sensodyne - 22nd April 2022 -ARY Digital Drama Subscribe: https://www.youtube.com/arydigitalasia Mere Humsafar is the life story of Hala, born to a..."
8,Love Cheyyala Vadda || Episode 07 || Seema Tapakai || Capdt,https://www.youtube.com/watch?v=395N3FW_PO4,,Seema Tapakai,125K views,18 hours ago,Muuchstac Beard Growth Oil and Ocean Face Wash:- Flipkart: https://bit.ly/O42233fkbgofw Amazon: https://amzn.to/3EEohVl Meesho: https://bit.ly/O42233msbgofw Muuchstac Beard Growth Oil:-...
9,Parvathi Maguva Maguva full Song Performance On Public Demand | SaReGaMaPa -The Singing Superstar,https://www.youtube.com/watch?v=oBm4gwE3G5E,,Zee Cinemalu,4.2M views,4 days ago,"Watch #SaReGaMaPaTheSingingSuperstar,Every Sunday at 9 PM on #ZeeTelugu For more latest telugu movies, songs, trailers, full movies & events : Subscribe - https://www.youtube.com/ZeeCinemalu..."
